序列	微信昵称	微信号	微信粉丝	软广价格	硬广价格	头像	二维码	粉丝图	趋势图
1	冷笑话精选	lxhjx100	5901773	2951	3541	http://www.vipyingxiao.com/v/images1/1/1.jpg	http://www.vipyingxiao.com/v/images1/1/2.jpg	http://www.vipyingxiao.com/v/images1/1/3.jpg	http://www.vipyingxiao.com/v/images1/1/4.jpg
2	冷兔冷笑话	ltlxhcom	5783164	2892	3470	http://www.vipyingxiao.com/v/images1/2/1.jpg	http://www.vipyingxiao.com/v/images1/2/2.jpg	http://www.vipyingxiao.com/v/images1/2/3.jpg	http://www.vipyingxiao.com/v/images1/2/4.jpg
3	热电影	rediany	5781461	2891	3469	http://www.vipyingxiao.com/v/images1/3/1.jpg	http://www.vipyingxiao.com/v/images1/3/2.jpg	http://www.vipyingxiao.com/v/images1/3/3.jpg	http://www.vipyingxiao.com/v/images1/3/4.jpg
6	搞笑排行榜	gaoxiaopaihb	5453776	2727	3272	http://www.vipyingxiao.com/v/images1/4/1.jpg	http://www.vipyingxiao.com/v/images1/4/2.jpg	http://www.vipyingxiao.com/v/images1/4/3.jpg	http://www.vipyingxiao.com/v/images1/4/4.jpg
9	全球时尚	trends001	5300546	2650	3180	http://www.vipyingxiao.com/v/images1/5/1.jpg	http://www.vipyingxiao.com/v/images1/5/2.jpg	http://www.vipyingxiao.com/v/images1/5/3.jpg	http://www.vipyingxiao.com/v/images1/5/4.jpg
10	我们爱讲冷笑话	womengajlxh	5285438	2643	3171	http://www.vipyingxiao.com/v/images1/6/1.jpg	http://www.vipyingxiao.com/v/images1/6/2.jpg	http://www.vipyingxiao.com/v/images1/6/3.jpg	http://www.vipyingxiao.com/v/images1/6/4.jpg
11	生活小智慧	shenghuoxzh	5143047	2572	3086	http://www.vipyingxiao.com/v/images1/7/1.jpg	http://www.vipyingxiao.com/v/images1/7/2.jpg	http://www.vipyingxiao.com/v/images1/7/3.jpg	http://www.vipyingxiao.com/v/images1/7/4.jpg
12	潮流英语	chaoliuyingyujx	5111534	2556	3067	http://www.vipyingxiao.com/v/images1/8/1.jpg	http://www.vipyingxiao.com/v/images1/8/2.jpg	http://www.vipyingxiao.com/v/images1/8/3.jpg	http://www.vipyingxiao.com/v/images1/8/4.jpg
13	占星小巫	zhanxingxiaowujx	5106862	2553	3064	http://www.vipyingxiao.com/v/images1/9/1.jpg	http://www.vipyingxiao.com/v/images1/9/2.jpg	http://www.vipyingxiao.com/v/images1/9/3.jpg	http://www.vipyingxiao.com/v/images1/9/4.jpg
14	全球冷笑话	qqlxhweixin	5101879	2551	3061	http://www.vipyingxiao.com/v/images1/10/1.jpg	http://www.vipyingxiao.com/v/images1/10/2.jpg	http://www.vipyingxiao.com/v/images1/10/3.jpg	http://www.vipyingxiao.com/v/images1/10/4.jpg
